epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,434.642,2.96081,4.28717,3.88715,0.00456,0.795,0.00586,0.00158,2.79397,4.66214,3.98386,0.00047157,0.00047157,0.00047157
2,896.993,2.4652,2.95947,2.96579,0.11532,0.285,0.11618,0.03914,2.23549,8.93543,3.03352,0.000929135,0.000929135,0.000929135
3,1386.13,2.11119,2.0898,2.4885,0.50759,0.59789,0.56388,0.18376,2.31595,3.55852,2.5857,0.00136784,0.00136784,0.00136784
4,1845.23,1.86487,1.55908,2.16656,0.83074,0.86,0.92234,0.48504,1.642,1.24304,1.90881,0.00134412,0.00134412,0.00134412
5,2772.32,1.72769,1.32919,1.99268,0.88264,0.82732,0.90483,0.46798,1.65118,1.2914,1.93631,0.00131582,0.00131582,0.00131582
6,3751.93,1.6417,1.18806,1.87962,0.97421,0.94443,0.98787,0.62469,1.33064,0.8192,1.61838,0.00128753,0.00128753,0.00128753
7,4156.97,1.58764,1.09439,1.82581,0.96948,0.95293,0.98709,0.60083,1.38301,0.83899,1.65006,0.00125923,0.00125923,0.00125923
8,4550.45,1.52926,1.01639,1.76371,0.94178,0.95,0.98402,0.62646,1.28154,1.00204,1.573,0.00123094,0.00123094,0.00123094
9,4943.03,1.4521,0.97505,1.70498,0.97465,0.96134,0.99176,0.66371,1.19623,0.6911,1.47938,0.00120265,0.00120265,0.00120265
10,5329.97,1.44193,0.94494,1.67702,0.93949,0.95,0.9807,0.64102,1.28087,0.77771,1.57256,0.00117435,0.00117435,0.00117435
11,5717.4,1.43136,0.93513,1.66743,0.97177,0.98,0.99001,0.63903,1.27979,0.72583,1.50132,0.00114606,0.00114606,0.00114606
12,6102.95,1.37219,0.88235,1.60505,0.98214,0.995,0.99429,0.65962,1.16566,0.64691,1.41923,0.00111776,0.00111776,0.00111776
13,6483.54,1.32685,0.84809,1.57957,0.98011,0.98567,0.99344,0.6653,1.2433,0.69591,1.48464,0.00108947,0.00108947,0.00108947
14,6844.17,1.31106,0.80791,1.56059,0.95592,0.86749,0.96634,0.69213,1.12616,0.77759,1.45916,0.00106118,0.00106118,0.00106118
15,7205.04,1.2946,0.79142,1.53808,0.9215,0.97,0.98425,0.68054,1.13745,0.61725,1.38279,0.00103288,0.00103288,0.00103288
16,7564.92,1.26069,0.77086,1.51374,0.95526,0.96071,0.99046,0.7196,1.02828,0.60258,1.2983,0.00100459,0.00100459,0.00100459
17,7925.49,1.25528,0.76355,1.50595,0.97623,0.995,0.99394,0.70974,1.05837,0.5947,1.2921,0.000976293,0.000976293,0.000976293
18,8286.66,1.24187,0.75015,1.48652,0.98513,0.99368,0.99414,0.7254,1.02798,0.54742,1.27288,0.000947999,0.000947999,0.000947999
19,8647.64,1.21432,0.72514,1.4598,0.98968,0.995,0.99192,0.72393,1.00195,0.56089,1.30212,0.000919704,0.000919704,0.000919704
20,9344.39,1.22281,0.73332,1.46501,0.99283,0.99,0.9946,0.74291,1.00995,0.53129,1.24916,0.00089141,0.00089141,0.00089141
21,10216.1,1.19169,0.71107,1.44465,0.99348,1,0.99495,0.66517,1.17864,0.56637,1.35851,0.000863116,0.000863116,0.000863116
22,11152.4,1.16922,0.71214,1.43172,0.94109,0.95857,0.97976,0.72498,1.04088,0.60199,1.31181,0.000834822,0.000834822,0.000834822
23,12123.9,1.14187,0.68128,1.41383,0.99302,0.98,0.99385,0.74244,0.99989,0.52098,1.26695,0.000806528,0.000806528,0.000806528
24,12973.2,1.1466,0.67154,1.40789,0.975,0.97504,0.99084,0.70756,1.09745,0.51709,1.31111,0.000778233,0.000778233,0.000778233
25,13413.9,1.14374,0.67218,1.40891,0.96901,0.93802,0.9851,0.68332,1.06608,0.69851,1.3109,0.000749939,0.000749939,0.000749939
26,14297.7,1.13482,0.65702,1.39024,0.98998,0.98771,0.9942,0.75843,0.95964,0.49247,1.23585,0.000721645,0.000721645,0.000721645
27,15174.8,1.0886,0.63677,1.36136,0.98994,0.98453,0.99339,0.77358,0.91503,0.47138,1.20105,0.000693351,0.000693351,0.000693351
28,16089.6,1.12379,0.65532,1.39279,0.98868,0.97,0.99081,0.76577,0.94134,0.49016,1.19498,0.000665057,0.000665057,0.000665057
29,17001.3,1.07968,0.63831,1.36703,0.99009,0.99955,0.99415,0.76761,0.92362,0.45301,1.18445,0.000636762,0.000636762,0.000636762
30,17921.1,1.0887,0.64031,1.36666,0.98988,0.97859,0.99401,0.77271,0.95665,0.48489,1.2324,0.000608468,0.000608468,0.000608468
