epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,18869.2,1.07329,0.61791,1.3512,0.99521,0.995,0.995,0.77619,0.87782,0.45393,1.18649,0.000580174,0.000580174,0.000580174
32,19827.7,1.05205,0.60353,1.33835,0.98969,0.95985,0.98666,0.7648,0.92386,0.4919,1.21257,0.00055188,0.00055188,0.00055188
33,20761.8,1.07219,0.61324,1.34499,0.99443,1,0.99445,0.79934,0.84302,0.43631,1.14541,0.000523586,0.000523586,0.000523586
34,21684.1,1.04173,0.5978,1.3364,0.995,0.99462,0.99375,0.78728,0.83172,0.43105,1.14172,0.000495291,0.000495291,0.000495291
35,22631.4,1.03605,0.58835,1.32903,0.99364,1,0.99495,0.7941,0.89082,0.42839,1.15467,0.000466997,0.000466997,0.000466997
36,23537.3,1.03626,0.58449,1.32225,0.99414,1,0.99495,0.77394,0.91383,0.43614,1.20505,0.000438703,0.000438703,0.000438703
37,24251.7,1.01455,0.57365,1.31528,0.99915,1,0.995,0.7817,0.91029,0.43021,1.183,0.000410409,0.000410409,0.000410409
38,25144.9,1.03066,0.58375,1.31644,1,0.99986,0.995,0.78631,0.8448,0.41007,1.13287,0.000382115,0.000382115,0.000382115
39,26082.1,1.00938,0.57294,1.31096,0.99882,1,0.995,0.792,0.84559,0.40937,1.14052,0.00035382,0.00035382,0.00035382
40,26976.8,1.00188,0.56724,1.30754,0.995,0.99493,0.99435,0.79727,0.85802,0.41259,1.13651,0.000325526,0.000325526,0.000325526
41,27979,0.86917,0.4443,1.16812,0.99962,0.995,0.995,0.78098,0.92548,0.42772,1.18654,0.000297232,0.000297232,0.000297232
42,29041.5,0.84882,0.42084,1.14923,0.99939,1,0.995,0.80489,0.84955,0.39406,1.14743,0.000268938,0.000268938,0.000268938
43,29971,0.82398,0.40862,1.13815,0.99971,1,0.995,0.81721,0.81439,0.38805,1.12895,0.000240644,0.000240644,0.000240644
44,30722.5,0.82408,0.4034,1.12648,0.99956,1,0.995,0.80653,0.84281,0.39203,1.12357,0.000212349,0.000212349,0.000212349
45,31089.4,0.81437,0.39797,1.12248,0.99965,1,0.995,0.81745,0.80295,0.38121,1.1097,0.000184055,0.000184055,0.000184055
46,31662.4,0.80723,0.39406,1.11958,0.99958,1,0.995,0.81395,0.80584,0.37793,1.11518,0.000155761,0.000155761,0.000155761
47,32503.4,0.78948,0.39005,1.10662,0.99975,1,0.995,0.82182,0.81172,0.36497,1.1106,0.000127467,0.000127467,0.000127467
48,33430.5,0.79052,0.38367,1.10376,0.99963,1,0.995,0.82525,0.79565,0.37282,1.1093,9.91726e-05,9.91726e-05,9.91726e-05
49,34295.1,0.7818,0.37989,1.09873,1,0.99941,0.995,0.82445,0.80708,0.36361,1.10737,7.08784e-05,7.08784e-05,7.08784e-05
50,35185.1,0.7651,0.37645,1.09047,0.99955,1,0.995,0.82409,0.78954,0.35971,1.09775,4.25842e-05,4.25842e-05,4.25842e-05
